dataset,variant,image_id,runtime_s
BSDS500_val,G_fmin008_ks5,304034,2.087962
BSDS500_val,G_fmin008_ks5,304074,2.025386
BSDS500_val,G_fmin008_ks5,306005,2.061926
BSDS500_val,G_fmin008_ks5,3096,2.021840
BSDS500_val,G_fmin008_ks5,33039,2.023711
BSDS500_val,G_fmin008_ks5,351093,2.047760
BSDS500_val,G_fmin008_ks5,361010,2.046106
BSDS500_val,G_fmin008_ks5,37073,2.051917
BSDS500_val,G_fmin008_ks5,376043,2.070881
BSDS500_val,G_fmin008_ks5,38082,2.008452
BSDS500_val,G_fmin008_ks5,38092,2.028623
BSDS500_val,G_fmin008_ks5,385039,2.039877
BSDS500_val,G_fmin008_ks5,41033,1.953082
BSDS500_val,G_fmin008_ks5,41069,2.061050
BSDS500_val,G_fmin008_ks5,42012,2.104812
BSDS500_val,G_fmin008_ks5,42049,2.036662
BSDS500_val,G_fmin008_ks5,43074,2.083252
BSDS500_val,G_fmin008_ks5,45096,0.900394
BSDS500_val,G_fmin008_ks5,54082,1.716176
BSDS500_val,G_fmin008_ks5,55073,1.987822
BSDS500_val,G_fmin008_ks5,58060,2.037480
BSDS500_val,G_fmin008_ks5,62096,2.082744
BSDS500_val,G_fmin008_ks5,65033,2.034376
BSDS500_val,G_fmin008_ks5,66053,1.891753
BSDS500_val,G_fmin008_ks5,69015,2.194970
BSDS500_val,G_fmin008_ks5,69020,1.961444
BSDS500_val,G_fmin008_ks5,69040,2.114593
BSDS500_val,G_fmin008_ks5,76053,2.057941
BSDS500_val,G_fmin008_ks5,78004,2.036916
BSDS500_val,G_fmin008_ks5,8023,1.983190
BSDS500_val,G_fmin008_ks5,85048,2.054430
BSDS500_val,G_fmin008_ks5,86000,2.038806
BSDS500_val,G_fmin008_ks5,86016,2.089665
BSDS500_val,G_fmin008_ks5,86068,1.987137
BSDS500_val,G_fmin008_ks5,87046,2.070574
BSDS500_val,G_fmin008_ks5,89072,2.053598
BSDS500_val,G_fmin008_ks5,97033,2.026836
BSDS500_val,G_fmin008_ks25,101085,2.036424
BSDS500_val,G_fmin008_ks25,101087,1.983565
BSDS500_val,G_fmin008_ks25,102061,2.002926
BSDS500_val,G_fmin008_ks25,103070,1.960671
BSDS500_val,G_fmin008_ks25,105025,2.110804
BSDS500_val,G_fmin008_ks25,106024,1.890527
BSDS500_val,G_fmin008_ks25,108005,1.937548
BSDS500_val,G_fmin008_ks25,108070,2.115018
BSDS500_val,G_fmin008_ks25,108082,1.834427
BSDS500_val,G_fmin008_ks25,109053,1.968246
BSDS500_val,G_fmin008_ks25,119082,2.023603
BSDS500_val,G_fmin008_ks25,12084,1.918260
BSDS500_val,G_fmin008_ks25,123074,2.076541
BSDS500_val,G_fmin008_ks25,126007,2.044073
BSDS500_val,G_fmin008_ks25,130026,2.051248
